datedebut;datefin;NumTypeContrat;NumStatutContrat;NumPersonne
20/09/1999;17/05/2007;2;3;90
07/06/1994;01/09/2005;2;3;61
13/12/2020;01/10/2032;1;2;76
06/04/2000;07/09/2012;3;3;58
30/08/2001;21/05/2003;3;2;89
24/04/2015;24/02/2018;3;2;38
30/09/2004;25/01/2007;2;4;12
24/02/2011;27/05/2017;3;2;72
02/07/1998;23/09/2007;1;4;57
07/10/2004;13/02/2006;2;3;73
25/12/2024;25/03/2033;1;1;22
16/11/2008;30/07/2011;3;4;48
24/07/2003;21/07/2014;1;4;46
01/11/1989;01/01/1999;2;5;76
01/11/2001;23/05/2013;2;4;16
17/02/2014;10/11/2022;2;2;84
21/06/2024;12/10/2024;1;3;18
10/07/2010;17/05/2014;2;3;14
26/07/2013;09/10/2025;2;2;8
11/04/2021;20/08/2033;3;1;15
04/10/1989;29/11/1993;1;4;80
28/06/2012;30/05/2014;1;2;22
08/10/2007;15/08/2012;2;2;16
08/01/1992;30/10/2000;2;1;14
06/08/2022;16/03/2029;2;5;80
12/07/2013;19/04/2019;3;5;78
12/09/1990;17/06/1995;2;1;49
30/11/2023;06/12/2028;2;4;31
06/02/1992;21/08/1994;2;1;23
01/04/1985;02/07/1985;1;5;3
21/07/2024;15/09/2037;2;5;20
06/01/1996;05/01/2006;3;3;26
08/12/1991;08/04/2000;3;4;30
30/07/1995;16/09/2005;3;2;12
23/11/1994;05/01/2006;1;2;82
26/05/1990;06/06/1999;3;4;38
25/10/2019;30/07/2027;1;2;8
28/11/2014;09/08/2026;2;4;42
10/09/2015;18/02/2018;3;1;87
16/03/1995;07/09/1996;1;3;48
25/09/2006;29/03/2010;2;4;3
12/10/2000;29/10/2005;2;4;7
14/09/2003;15/12/2008;2;3;89
10/12/2002;19/04/2012;1;2;42
15/08/1991;02/08/1999;2;4;59
27/04/2023;07/04/2029;1;5;2
02/09/1997;07/11/2010;3;4;1
08/12/1999;07/05/2011;3;3;67
14/10/2005;31/03/2010;3;2;17
25/03/2021;09/10/2033;2;3;69
29/09/2021;02/06/2024;2;2;29
08/05/2010;02/03/2021;2;4;58
11/02/2012;18/09/2014;2;3;5
13/10/2010;24/09/2014;2;3;36
03/06/2005;26/06/2016;2;2;63
17/03/1987;25/02/1993;1;4;11
17/03/2015;23/02/2024;3;5;9
27/08/2009;01/08/2020;2;4;43
08/06/1995;06/05/1999;1;2;15
24/10/1993;01/04/2006;2;4;3
08/12/1985;23/02/1986;2;3;59
22/02/1993;21/04/2005;1;2;69
01/07/1987;08/04/1997;2;1;6
13/07/1998;10/04/2011;2;2;85
20/06/2020;02/12/2023;2;3;49
29/11/1987;23/02/1995;2;4;37
04/02/1987;26/02/2000;2;1;73
11/12/2007;29/04/2019;2;3;44
06/08/2013;12/11/2016;2;3;82
06/07/2024;10/06/2026;3;2;79
05/09/2022;28/05/2031;2;4;30
26/03/2021;24/03/2027;1;5;30
15/06/2019;07/08/2020;3;3;25
01/04/2017;22/08/2029;3;4;48
29/04/2013;15/01/2022;2;2;45
17/09/2008;12/11/2019;3;4;22
14/04/1993;10/02/2003;2;5;41
05/05/2021;07/05/2032;1;3;18
30/04/1998;25/06/2006;2;1;19
25/09/2024;01/01/2025;1;4;84
16/05/2009;19/12/2010;2;1;10
08/06/2017;08/01/2019;2;4;41
21/05/2022;28/10/2035;2;3;58
11/08/2018;12/10/2021;3;5;71
12/05/1993;10/05/2004;3;3;31
13/10/1995;13/03/1996;2;4;32
05/02/1991;12/06/1994;1;1;35
01/02/1997;07/06/2005;2;4;33
25/08/2017;21/12/2025;3;3;25
25/06/1989;02/05/1993;3;4;82
06/03/1988;12/07/1990;3;2;51
03/09/2015;02/02/2028;2;4;87
27/10/2022;14/04/2032;1;4;47
22/07/2009;03/06/2022;2;1;59
06/06/2020;27/03/2025;2;3;56
16/02/2020;20/02/2024;1;3;8
17/05/2011;28/10/2011;2;2;90
22/09/2004;06/04/2006;1;4;79
14/07/1985;15/05/1997;2;2;21
12/06/1993;18/05/2000;1;3;78
24/11/2004;13/04/2006;2;3;56
07/11/2021;21/03/2031;3;2;50
08/03/1995;12/11/2001;1;3;34
02/04/2008;06/06/2008;2;4;88
06/09/2001;28/10/2014;2;2;34
10/01/2017;08/03/2023;2;3;46
28/11/1988;12/05/1994;2;2;2
20/01/2013;13/10/2017;3;4;3
13/01/2007;09/06/2007;1;3;45
23/09/2008;26/03/2022;1;4;4
06/11/1994;21/10/2006;3;3;79
23/10/1996;06/03/1997;2;5;72
14/05/2011;04/10/2017;1;4;15
18/07/1995;03/01/2009;2;3;75
26/04/2021;23/01/2030;3;2;15
12/02/2023;11/09/2023;3;4;45
09/01/1992;15/08/2000;2;4;44
15/04/1985;20/12/1988;2;4;38
01/12/2000;23/06/2002;2;3;72
30/01/2002;22/10/2007;2;3;27
22/07/1993;28/04/1997;3;3;40
12/02/2006;31/12/2009;2;2;8
11/10/2016;07/12/2018;2;4;55
31/07/2007;31/01/2013;2;1;48
20/07/2006;09/02/2013;3;5;83
09/03/1992;21/10/1998;1;4;54
25/07/2004;29/05/2012;2;3;54
13/10/2021;21/07/2022;2;2;69
20/10/1990;30/11/2001;2;4;62
26/10/2005;17/02/2013;1;4;48
05/11/1986;14/12/1990;2;2;3
15/12/1996;10/07/2003;3;4;30
17/01/1989;11/10/1990;2;4;61
28/06/1996;18/11/1999;2;3;14
16/10/2012;20/12/2019;2;1;37
11/10/1992;19/09/2004;1;5;43
23/05/1989;16/08/1999;3;3;64
05/07/1995;06/08/2000;1;3;53
05/10/2017;04/01/2030;2;1;3
24/02/1989;19/06/1992;2;2;52
24/11/2004;31/01/2008;2;3;68
05/04/1993;25/06/1999;3;2;56
12/05/2011;22/09/2012;2;1;61
25/10/1990;10/12/2002;3;2;79
28/05/2018;07/04/2023;3;2;64
