numpersonne,numpublication,TypeContribution
1,1,Expérimentation
1,2,Idée
1,3,Relecteur
1,4,Méthode
1,5,Données
1,6,Données
1,7,Idée
1,8,Idée
1,9,Analyse
1,10,Analyse
1,11,Relecteur
1,12,Analyse
1,13,Méthode
1,14,Relecteur
1,15,Relecteur
1,16,Idée
1,17,Relecteur
1,18,Analyse
1,19,Écriture
1,20,Données
1,21,Écriture
1,22,Expérimentation
1,23,Expérimentation
1,24,Données
1,25,Données
1,26,Expérimentation
1,27,Données
1,28,Données
1,29,Relecteur
1,30,Données
1,31,Expérimentation
1,32,Écriture
1,33,Écriture
1,34,Analyse
1,35,Expérimentation
1,36,Expérimentation
1,37,Idée
1,38,Méthode
1,39,Idée
1,40,Méthode
1,41,Idée
1,42,Analyse
1,43,Idée
1,44,Écriture
1,45,Données
1,46,Analyse
1,47,Relecteur
1,48,Relecteur
1,49,Expérimentation
1,50,Données
1,51,Idée
1,52,Méthode
1,53,Méthode
1,54,Expérimentation
1,55,Analyse
1,56,Écriture
1,57,Analyse
1,58,Expérimentation
1,59,Analyse
1,60,Idée
2,1,Méthode
2,2,Expérimentation
2,3,Idée
2,4,Relecteur
2,5,Données
2,6,Données
2,7,Analyse
2,8,Données
2,9,Écriture
2,10,Données
2,11,Méthode
2,12,Méthode
2,13,Relecteur
2,14,Méthode
2,15,Expérimentation
2,16,Relecteur
2,17,Écriture
2,18,Analyse
2,19,Relecteur
2,20,Expérimentation
2,21,Relecteur
2,22,Relecteur
2,23,Expérimentation
2,24,Données
2,25,Expérimentation
2,26,Expérimentation
2,27,Analyse
2,28,Expérimentation
2,29,Analyse
2,30,Écriture
2,31,Idée
2,32,Idée
2,33,Analyse
2,34,Données
2,35,Données
2,36,Écriture
2,37,Relecteur
2,38,Écriture
2,39,Idée
2,40,Idée
2,41,Écriture
2,42,Données
2,43,Données
2,44,Données
2,45,Analyse
2,46,Idée
2,47,Relecteur
2,48,Écriture
2,49,Données
2,50,Analyse
2,51,Méthode
2,52,Écriture
2,53,Relecteur
2,54,Relecteur
2,55,Analyse
2,56,Analyse
2,57,Données
2,58,Analyse
2,59,Méthode
2,60,Écriture
3,1,Relecteur
3,2,Idée
3,3,Idée
3,4,Relecteur
3,5,Analyse
3,6,Données
3,7,Données
3,8,Idée
3,9,Données
3,10,Méthode
3,11,Données
3,12,Méthode
3,13,Relecteur
3,14,Écriture
3,15,Données
3,16,Expérimentation
3,17,Données
3,18,Expérimentation
3,19,Méthode
3,20,Écriture
3,21,Données
3,22,Méthode
3,23,Analyse
3,24,Relecteur
3,25,Écriture
3,26,Expérimentation
3,27,Relecteur
3,28,Données
3,29,Idée
3,30,Écriture
3,31,Relecteur
3,32,Idée
3,33,Méthode
3,34,Idée
3,35,Expérimentation
3,36,Relecteur
3,37,Expérimentation
3,38,Relecteur
3,39,Méthode
3,40,Relecteur
3,41,Relecteur
3,42,Analyse
3,43,Expérimentation
3,44,Idée
3,45,Expérimentation
3,46,Écriture
3,47,Relecteur
3,48,Écriture
3,49,Écriture
3,50,Relecteur
3,51,Écriture
3,52,Analyse
3,53,Analyse
3,54,Expérimentation
3,55,Écriture
3,56,Écriture
3,57,Écriture
3,58,Écriture
3,59,Relecteur
3,60,Écriture
4,1,Méthode
4,2,Écriture
4,3,Analyse
4,4,Données
4,5,Écriture
4,6,Relecteur
4,7,Idée
4,8,Analyse
4,9,Analyse
4,10,Méthode
4,11,Méthode
4,12,Expérimentation
4,13,Écriture
4,14,Écriture
4,15,Relecteur
4,16,Idée
4,17,Expérimentation
4,18,Analyse
4,19,Écriture
4,20,Écriture
4,21,Analyse
4,22,Expérimentation
4,23,Idée
4,24,Méthode
4,25,Analyse
4,26,Analyse
4,27,Idée
4,28,Analyse
4,29,Écriture
4,30,Méthode
4,31,Expérimentation
4,32,Méthode
4,33,Méthode
4,34,Données
4,35,Relecteur
4,36,Idée
4,37,Méthode
4,38,Relecteur
4,39,Idée
4,40,Expérimentation
4,41,Écriture
4,42,Analyse
4,43,Données
4,44,Relecteur
4,45,Idée
4,46,Expérimentation
4,47,Méthode
4,48,Méthode
4,49,Analyse
4,50,Relecteur
4,51,Données
4,52,Idée
4,53,Relecteur
4,54,Relecteur
4,55,Analyse
4,56,Données
4,57,Idée
4,58,Données
4,59,Données
4,60,Relecteur
5,1,Méthode
5,2,Expérimentation
5,3,Données
5,4,Données
5,5,Écriture
5,6,Idée
5,7,Expérimentation
5,8,Expérimentation
5,9,Données
5,10,Écriture
5,11,Relecteur
5,12,Écriture
5,13,Écriture
5,14,Idée
5,15,Écriture
5,16,Idée
5,17,Idée
5,18,Expérimentation
5,19,Idée
5,20,Écriture
5,21,Données
5,22,Analyse
5,23,Relecteur
5,24,Méthode
5,25,Analyse
5,26,Écriture
5,27,Méthode
5,28,Analyse
5,29,Données
5,30,Idée
5,31,Données
5,32,Écriture
5,33,Méthode
5,34,Idée
5,35,Relecteur
5,36,Données
5,37,Écriture
5,38,Expérimentation
5,39,Expérimentation
5,40,Écriture
5,41,Idée
5,42,Expérimentation
5,43,Relecteur
5,44,Idée
5,45,Relecteur
5,46,Données
5,47,Écriture
5,48,Relecteur
5,49,Écriture
5,50,Méthode
5,51,Écriture
5,52,Relecteur
5,53,Données
5,54,Relecteur
5,55,Données
5,56,Idée
5,57,Écriture
5,58,Relecteur
5,59,Méthode
5,60,Relecteur
6,1,Analyse
6,2,Données
6,3,Relecteur
6,4,Écriture
6,5,Analyse
6,6,Idée
6,7,Données
6,8,Écriture
6,9,Idée
6,10,Méthode
6,11,Relecteur
6,12,Expérimentation
6,13,Données
6,14,Méthode
6,15,Analyse
6,16,Relecteur
6,17,Analyse
6,18,Données
