NumPersonne,NumProjet,Role
1,1,Développeur
1,2,Chef de projet
1,3,Testeur
1,4,Responsable de la communication
1,5,Coordinateur
1,6,Chef de projet
1,7,Développeur
1,8,Coordinateur
1,9,Coordinateur
1,10,Consultant
1,11,Développeur
1,12,Coordinateur
1,13,Développeur
1,14,Coordinateur
1,15,Consultant
2,1,Testeur
2,2,Coordinateur
2,3,Responsable de la communication
2,4,Développeur
2,5,Consultant
2,6,Consultant
2,7,Testeur
2,8,Coordinateur
2,9,Chef de projet
2,10,Chef de projet
2,11,Responsable de la communication
2,12,Consultant
2,13,Consultant
2,14,Testeur
2,15,Coordinateur
3,1,Responsable de la communication
3,2,Consultant
3,3,Testeur
3,4,Testeur
3,5,Responsable de la communication
3,6,Coordinateur
3,7,Coordinateur
3,8,Développeur
3,9,Testeur
3,10,Rédacteur
3,11,Développeur
3,12,Testeur
3,13,Responsable de la communication
3,14,Responsable de la communication
3,15,Développeur
4,1,Testeur
4,2,Coordinateur
4,3,Coordinateur
4,4,Coordinateur
4,5,Responsable de la communication
4,6,Coordinateur
4,7,Coordinateur
4,8,Consultant
4,9,Rédacteur
4,10,Testeur
4,11,Développeur
4,12,Consultant
4,13,Chef de projet
4,14,Testeur
4,15,Rédacteur
5,1,Développeur
5,2,Responsable de la communication
5,3,Consultant
5,4,Responsable de la communication
5,5,Responsable de la communication
5,6,Développeur
5,7,Consultant
5,8,Testeur
5,9,Rédacteur
5,10,Testeur
5,11,Chef de projet
5,12,Responsable de la communication
5,13,Testeur
5,14,Consultant
5,15,Coordinateur
6,1,Développeur
6,2,Responsable de la communication
6,3,Responsable de la communication
6,4,Rédacteur
6,5,Coordinateur
6,6,Responsable de la communication
6,7,Développeur
6,8,Consultant
6,9,Consultant
6,10,Responsable de la communication
6,11,Responsable de la communication
6,12,Responsable de la communication
6,13,Consultant
6,14,Rédacteur
6,15,Coordinateur
7,1,Développeur
7,2,Développeur
7,3,Responsable de la communication
7,4,Testeur
7,5,Développeur
7,6,Testeur
7,7,Responsable de la communication
7,8,Consultant
7,9,Coordinateur
7,10,Chef de projet
7,11,Chef de projet
7,12,Consultant
7,13,Rédacteur
7,14,Consultant
7,15,Chef de projet
8,1,Chef de projet
8,2,Chef de projet
8,3,Testeur
8,4,Testeur
8,5,Consultant
8,6,Coordinateur
8,7,Développeur
8,8,Rédacteur
8,9,Chef de projet
8,10,Coordinateur
8,11,Développeur
8,12,Rédacteur
8,13,Chef de projet
8,14,Consultant
8,15,Développeur
9,1,Chef de projet
9,2,Testeur
9,3,Testeur
9,4,Consultant
9,5,Développeur
9,6,Coordinateur
9,7,Rédacteur
9,8,Testeur
9,9,Développeur
9,10,Chef de projet
9,11,Rédacteur
9,12,Responsable de la communication
9,13,Chef de projet
9,14,Coordinateur
9,15,Chef de projet
10,1,Chef de projet
10,2,Chef de projet
10,3,Consultant
10,4,Coordinateur
10,5,Développeur
10,6,Rédacteur
10,7,Chef de projet
10,8,Chef de projet
10,9,Responsable de la communication
10,10,Testeur
10,11,Consultant
10,12,Responsable de la communication
10,13,Chef de projet
10,14,Coordinateur
10,15,Responsable de la communication
11,1,Testeur
11,2,Consultant
11,3,Développeur
11,4,Responsable de la communication
11,5,Chef de projet
11,6,Consultant
11,7,Chef de projet
11,8,Rédacteur
11,9,Rédacteur
11,10,Consultant
11,11,Rédacteur
11,12,Coordinateur
11,13,Chef de projet
11,14,Consultant
11,15,Responsable de la communication
12,1,Responsable de la communication
12,2,Coordinateur
12,3,Développeur
12,4,Développeur
12,5,Consultant
12,6,Responsable de la communication
12,7,Coordinateur
12,8,Responsable de la communication
12,9,Rédacteur
12,10,Chef de projet
12,11,Coordinateur
12,12,Responsable de la communication
12,13,Consultant
12,14,Coordinateur
12,15,Consultant
13,1,Coordinateur
13,2,Testeur
13,3,Rédacteur
13,4,Consultant
13,5,Consultant
13,6,Testeur
13,7,Chef de projet
13,8,Développeur
13,9,Testeur
13,10,Chef de projet
13,11,Responsable de la communication
13,12,Consultant
13,13,Testeur
13,14,Développeur
13,15,Développeur
14,1,Coordinateur
14,2,Coordinateur
14,3,Testeur
14,4,Testeur
14,5,Rédacteur
14,6,Développeur
14,7,Coordinateur
14,8,Chef de projet
14,9,Rédacteur
14,10,Chef de projet
14,11,Rédacteur
14,12,Responsable de la communication
14,13,Consultant
14,14,Responsable de la communication
14,15,Consultant
15,1,Développeur
15,2,Chef de projet
15,3,Rédacteur
15,4,Consultant
