NumSalle;IdSalle;Etage;CapaciteSalle;NumTypeSalle
1;A001;0;190;9
2;A002;0;210;9
3;A003;0;290;9
4;A004;0;300;10
5;A005;0;2;1
6;A006;0;2;1
7;A007;0;3;1
8;A008;0;4;1
9;A101;1;10;2
10;A102;1;6;2
11;A103;1;4;2
12;A104;1;3;2
13;A105;1;1;2
14;A106;1;10;2
15;A107;1;15;2
16;A108;1;6;2
17;A109;1;2;2
18;A201;2;7;2
19;A202;2;20;2
20;A203;2;4;2
21;A204;2;5;2
22;A205;2;2;2
23;A206;2;4;2
24;A207;2;5;2
25;A208;2;10;5
26;A209;2;5;5
27;A301;3;200;10
28;A302;3;100;10
29;A303;3;50;10
30;A901;-1;40;6
31;A902;-1;100;7
32;A903;-1;245;3
33;A904;-1;50;7
34;A905;-1;30;5
35;A801;-2;20;3
36;A802;-2;70;4
37;A803;-2;3;1
